id,month,type,placename,state,state_abbrev,state_fips,countyname,countyfips,ideology,group,description
2305,1,Anti-Semitic Incident:Harassment,Somerville,Massachusetts,MA,25,Middlesex,17,,,Facebook group run by right-wing extremist Christians used to spread hate and anti-Semitic content.
2351,1,Anti-Semitic Incident:Harassment,St. Paul,Minnesota,MN,,Ramsey,123,,,
715,1,Anti-Semitic Incident:Harassment,Decatur,Georgia,GA,13,DeKalb,89,,,Individual received anti-Semitic email claiming Israel was carrying out a genocide against refugees.
1451,1,Anti-Semitic Incident:Harassment,Maitland,Florida,FL,12,Orange,95,,,Jewish school received a bomb threat.
671,1,Anti-Semitic Incident:Harassment,Cresskill,New Jersey,NJ,34,Bergen,3,,, stamped on it left at person's front door.
374,1,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Jewish Orthodox man discovered anti-Semitic and white supremacist graffiti on front door of his residence.
2304,1,Anti-Semitic Incident:Vandalism,Somers,New York,NY,,Westchester,119,,,Confidential
2711,1,Anti-Semitic Incident:Harassment,Yarmouth,Massachusetts,MA,,Barnstable,1,,, after series of confrontations.
1472,1,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Apartment building's menorah stolen.
724,1,Anti-Semitic Incident:Harassment,Delray Beach,Florida,FL,12,Palm Beach,99,,,
2390,1,Anti-Semitic Incident:Harassment,Ramapo,New York,NY,,Rockland,87,,,Jewish mayor of a village received anti-Semitic hate literature.
2618,1,Anti-Semitic Incident:Harassment,Wellington,Florida,FL,12,Palm Beach,99,,,Individuals posted anti-Semitic material on former boss's Facebook page.
2190,1,Anti-Semitic Incident:Vandalism,Melville,New York,NY,36,Suffolk,103,,,Confidential
525,1,Anti-Semitic Incident:Vandalism,Atlanta,Georgia,GA,13,Fulton,121,,,Confidential
472,1,Anti-Semitic Incident:Harassment,Lake Worth,Florida,FL,12,Palm Beach,99,,,
705,1,Anti-Semitic Incident:Harassment,Davie,Florida,FL,12,Broward,11,,,Individual verbally harassed with anti-Semitic epithets by neighbor.
364,1,Anti-Semitic Incident:Harassment,Brooklyn,New York,NY,,Kings,47,,,Jewish individual received threatening and anti-Semitic phone call in which caller said he hated rabbis and wanted to kill all rabbis in the area one by one.
1883,1,Anti-Semitic Incident:Harassment,Palm Beach Gardens,Florida,FL,12,Palm Beach,99,,,Jewish school received a bomb threat.
1189,1,Anti-Semitic Incident:Harassment,Katonah,New York,NY,36,Westchester,119,,,Individual discovered note with swastika in his mailbox.
2712,1,Terrorist Plot/Attack;Extremist/Police Shootout,Yeadon,Pennsylvania,PA,42,Delaware,45,Islamist,,"Edward Archer attempted to shoot a Philadelphia police officer on behalf of ISIS. The officer was able to exit his car and shoot the fleeing suspect, leaving Archer badly wounded."
104,1,Anti-Semitic Incident:Harassment,Atlanta,Georgia,GA,13,Fulton,121,,,Radio host questioned nomination of federal judge because he converted to Judaism.
2093,1,Anti-Semitic Incident:Harassment,Rohnert Park,California,CA,6,Sonoma,97,,,Church put anti-Semitic messages on its billboard and website.
1114,1,Anti-Semitic Incident:Vandalism,Somerville,Massachusetts,MA,25,Middlesex,17,,,Swastika graffitied on bus window.
1972,1,Anti-Semitic Incident:Harassment,Ponte Vedra Beach,Florida,FL,,St. Johns,109,,,Jewish student witnessed peer receive a text filled with anti-Semitic content directed at her.
1054,1,Anti-Semitic Incident:Vandalism,Newton,Massachusetts,MA,25,Middlesex,17,,,Swastika made of blocks found at playground.
434,1,Extremist/Police Shootout,Burns,Oregon,OR,41,Harney,25,Right Wing (Anti-Government),,"LaVoy” Finicum, one of the anti-government extremists involved in the armed takeover of the Malheur National Wildlife Refuge headquarters. Finicum was fatally wounded by law enforcement during an attempt to arrest him and a num­ber of other key occupiers who were driving in a vehicle. Finicum was shot after he emerged from the vehicle and appeared to reach into his jacket, where he had a handgun."
1457,1,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,
1068,1,Anti-Semitic Incident:Harassment,Daytona Beach,Florida,FL,12,Volusia,127,,,Middle school student made anti-Semitic comments during a class discussion of the Holocaust.
2306,1,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Swastika graffiti found on street sign.
1246,1,Anti-Semitic Incident:Harassment,Omaha,Nebraska,NE,31,Douglas,55,,,Confidential
853,1,Anti-Semitic Incident:Vandalism,Evesham,New Jersey,NJ,,Burlington,5,,,Two swastikas drawn on mats at private residence.
2617,1,Anti-Semitic Incident:Assault,Wellington,Florida,FL,12,Palm Beach,99,,,
1603,1,Terrorist Plot/Attack,Milwaukee,Wisconsin,WI,55,Milwaukee,79,Islamist,,"Samy Mohamed Hamzeh wanted to shoot up a Milwaukee Masonic temple. He had originally planned to travel to the West Bank to kill soldiers and civilians, but changed his plans for logistical reasons."
105,1,Anti-Semitic Incident:Harassment,Atlanta,Georgia,GA,13,Fulton,121,,,Confidential
383,1,Anti-Semitic Incident:Harassment,Fairfield,Connecticut,CT,,Fairfield,1,,,
1706,1,Anti-Semitic Incident:Vandalism,New Brunswick,New Jersey,NJ,34,Middlesex,23,,, discovered in campus library.
2091,1,Anti-Semitic Incident:Vandalism,Rocky Point,New York,NY,36,Suffolk,103,,,Swastikas spray-painted throughout residential neighborhood.
148,1,Anti-Semitic Incident:Harassment,Austin,Texas,TX,48,Travis,453,,,
1096,1,Terrorist Plot/Attack,Houston,Texas,TX,48,Harris,201,Islamist,,"Omar Faraj Saeed al-Hardan plotted to bomb two Houston malls, including the Galleria. He planned to detonate the bombs using cellphones, a collection of which were found in his apartment."
508,1,Anti-Semitic Incident:Vandalism,Chattanooga,Tennessee,TN,47,Hamilton,65,,,Two vehicles belonging to Jewish organization set on fire.
1545,1,Anti-Semitic Incident:Harassment,Metuchen,New Jersey,NJ,34,Middlesex,23,,,Confidential
1354,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1357,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1458,1,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,Three bundles of notes containing threatening and pro-Nazi content left in building hallway.
1475,1,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Mezuzah stolen from Jewish person's door.
1081,1,Anti-Semitic Incident:Vandalism,Quincy,Massachusetts,MA,25,Norfolk,21,,,Swastika carved on telephone pole outside of post office.
925,1,Anti-Semitic Incident:Harassment,Framingham,Massachusetts,MA,25,Middlesex,17,,,Confidential
373,1,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Anti-Semitic graffiti found on entrance to apartment building.
425,1,Anti-Semitic Incident:Vandalism,Burlingame,California,CA,6,San Mateo,81,,,Swastika drawn on back of Jewish student's chair by classmate.
1356,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1588,1,Anti-Semitic Incident:Harassment,Milwaukee,Wisconsin,WI,55,Milwaukee,79,,,Jewish individual received a threatening anti-Semitic message.
2404,1,Anti-Semitic Incident:Vandalism,Rocky Point,New York,NY,36,Suffolk,103,,,Confidential
2092,1,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Confidential
1063,1,Anti-Semitic Incident:Vandalism,Highland Park,New Jersey,NJ,34,Middlesex,23,,, written in pencil in bathroom.
1353,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1355,1,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1050,1,Anti-Semitic Incident:Vandalism,Hastings-on-Hudson,New York,NY,36,Westchester,119,,, spray-painted on exterior of their house.
2045,1,Anti-Semitic Incident:Vandalism,Reading,Pennsylvania,PA,42,Berks,11,,,"School's grounds vandalized with swastikas, 666 imagery and profanities."
723,1,Anti-Semitic Incident:Harassment,Delray Beach,Florida,FL,12,Palm Beach,99,,, at couple.
2483,2,Anti-Semitic Incident:Harassment,Westbury,New York,NY,36,Nassau,59,,,Anti-Semitic graffiti spray painted on building.
265,2,Anti-Semitic Incident:Harassment,Boca Raton,Florida,FL,12,Palm Beach,99,,,Anti-Semitic tweet referenced Germany and gassing of Jews.
2150,2,Anti-Semitic Incident:Harassment,San Diego,California,CA,6,San Diego,73,,,Synagogue received threatening and anti-Semitic phone message.
2206,2,Anti-Semitic Incident:Vandalism,San Luis Obispo,California,CA,6,San Luis Obispo,79,,,Two bathrooms on campus vandalized with swastika drawings.
846,2,Extremist/Police Shootout,Evans,Colorado,CO,8,Weld,123,Right Wing (White Supremacist),,"Police killed white supremacist Luke Nathan Miller after he fired a shot at police officers who approached him and another man in a secluded area. Miller, who fled the scene, raised his gun at officers after they surrounded his hiding place."
1710,2,Anti-Semitic Incident:Vandalism,New Brunswick,New Jersey,NJ,34,Middlesex,23,,,Jewish students faced anti-Semitic harassment in school.
1389,2,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,,Two swastikas drawings discovered in bathroom at synagogue.
2481,2,Anti-Semitic Incident:Vandalism,Syosset,New York,NY,36,Nassau,59,,,Confidential
716,2,Anti-Semitic Incident:Harassment,Decatur,Georgia,GA,13,DeKalb,89,,,Non-profit organization received series of hate emails including anti-Semitic content and graphics.
1256,2,Anti-Semitic Incident:Harassment,Lakewood,New Jersey,NJ,34,Ocean,29,,,
2708,2,Anti-Semitic Incident:Harassment,Wynnewood,Pennsylvania,PA,,Montgomery,42,,,Jewish school received a threatening phone call.
1021,2,Anti-Semitic Incident:Vandalism,Monson,Massachusetts,MA,,Hampden,13,,,Individual wrote anti-Obama and pro-Nazi messages and images on bathroom door of local business.
1808,2,Anti-Semitic Incident:Harassment,Oakland,California,CA,6,Alameda,1,,,
1950,2,Anti-Semitic Incident:Harassment,Boca Raton,Florida,FL,12,Palm Beach,99,,, from peers.
482,2,Anti-Semitic Incident:Harassment,Centerville,Ohio,OH,39,Montgomery,113,,,
116,2,Anti-Semitic Incident:Assault,Los Angeles,California,CA,6,Los Angeles,37,,, by assailant.
1707,2,Anti-Semitic Incident:Vandalism,New Brunswick,New Jersey,NJ,34,Middlesex,23,,,Swastika drawn under picture within a university art exhibit.
567,2,Anti-Semitic Incident:Harassment,Davie,Florida,FL,12,Broward,11,,,Confidential
1668,2,Anti-Semitic Incident:Harassment,Munster,Indiana,IN,18,Lake,89,,,Bomb threat called into Jewish preschool.
1814,2,Anti-Semitic Incident:Harassment,Oberlin,Ohio,OH,39,Lorain,93,,,Confidential
2289,2,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,,Los Angeles,37,,,Confidential
149,2,Anti-Semitic Incident:Harassment,Austin,Texas,TX,48,Travis,453,,,Anti-Semitic harassment in the workplace.
377,2,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Swastika and KKK graffiti discovered in apartment building elevator.
322,2,Anti-Semitic Incident:Assault,Branford,Connecticut,CT,,New Haven,9,,,Confidential
28,2,Anti-Semitic Incident:Harassment,Beaumont,California,CA,6,Riverside,65,,,Anti-Semitic flyers left on cars featured images of Jews being sodomized.
1390,2,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,,Swastika carved into Jewish woman's car.
2001,2,Anti-Semitic Incident:Vandalism,Princeton,New Jersey,NJ,34,Mercer,21,,,Bathroom in academic building as vandalized with swastika graffiti.
44,2,Anti-Semitic Incident:Harassment,Alpharetta,Georgia,GA,13,Fulton,121,,, in addition to swastikas found etched in school bathroom.
1388,2,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,,Swastikas painted next to a Jewish center.
378,2,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Individual discovered a threatening message and swastika drawn on their car.
2292,2,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,,Los Angeles,37,,,Paper bag covered in swastikas left on residential lawn.
1194,2,Anti-Semitic Incident:Harassment,Kendall,Florida,FL,12,Miami-Dade,86,,,Students used anti-Semitic epithets to criticize individuals' appearances.
2633,2,Anti-Semitic Incident:Harassment,West Palm Beach,Florida,FL,12,Palm Beach,99,,,Individual mocked via social media content that included anti-Semitic epithets.
2352,2,Anti-Semitic Incident:Harassment,St. Paul,Minnesota,MN,,Ramsey,123,,,
2561,2,Anti-Semitic Incident:Vandalism,Monongahela,Pennsylvania,PA,42,Washington,125,,,Wave of vandalism included swastika imagery drawn on the street.
426,2,Anti-Semitic Incident:Harassment,Burlington,Vermont,VT,50,Chittenden,7,,,Students received an email that denied the events of the Holocaust.
463,2,Anti-Semitic Incident:Harassment,Carmel,California,CA,,Monterey,53,,,Individual received an email full of anti-Semitic content.
1261,2,Anti-Semitic Incident:Harassment,Newport,New Hampshire,NH,33,Sullivan,19,,,
264,2,Anti-Semitic Incident:Harassment,Boca Raton,Florida,FL,12,Palm Beach,99,,,Individual physically and verbally attacked neighbors while using racist and anti-Semitic slurs.
745,2,Anti-Semitic Incident:Vandalism,Fort Wayne,Indiana,IN,18,Allen,3,,,Jewish cemetery vandalized.
2102,2,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,
2515,2,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,,Los Angeles,37,,, by her neighbor.
1708,2,Anti-Semitic Incident:Vandalism,New Brunswick,New Jersey,NJ,34,Middlesex,23,,,Swastika graffiti discovered in campus library.
1709,2,Anti-Semitic Incident:Vandalism,New Brunswick,New Jersey,NJ,34,Middlesex,23,,,Four swastikas drawn on wall in café at Rutgers University Student Center.
2652,2,Anti-Semitic Incident:Harassment,Westport,Connecticut,CT,9,Fairfield,1,,,Anti-Semitic harassment.
1560,2,Anti-Semitic Incident:Assault,Brooklyn,New York,NY,,Kings,47,,,Jewish individual assaulted while walking on street.
1760,2,Anti-Semitic Incident:Harassment,Newton,Massachusetts,MA,25,Middlesex,17,,, written in school bathroom.
706,2,Anti-Semitic Incident:Harassment,Davie,Florida,FL,12,Broward,11,,,
2310,2,Anti-Semitic Incident:Vandalism,Newburgh,New York,NY,36,Orange,71,,,Bridge defaced with swastika graffiti.
1927,2,Anti-Semitic Incident:Vandalism,Philadelphia,Pennsylvania,PA,42,Philadelphia,101,,,Car vandalized with swastika and the n-word at Temple University.
2108,2,Anti-Semitic Incident:Vandalism,Saddle Brook,New Jersey,NJ,,Bergen,3,,,
896,2,Anti-Semitic Incident:Harassment,Fort Collins,Colorado,CO,8,Larimer,69,,,Anti-Semite distributed Holocaust denial and anti-Semitic literature on campus.
2000,2,Anti-Semitic Incident:Vandalism,Princeton,New Jersey,NJ,34,Mercer,21,,,
1786,2,Anti-Semitic Incident:Harassment,North Canton,Ohio,OH,39,Stark,151,,,Middle school student victim of anti-Semitic harassment by classmates.
2564,2,Anti-Semitic Incident:Harassment,Philadelphia,Pennsylvania,PA,42,Philadelphia,101,,,Jewish developers targeted with anti-Semitic comments at community development meeting.
1656,2,Anti-Semitic Incident:Harassment,Mount Laurel,New Jersey,NJ,,Burlington,5,,,
1635,2,Anti-Semitic Incident:Vandalism,Modesto,California,CA,6,Stanislaus,99,,,
1461,2,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,
1460,2,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,Confidential
1913,2,Anti-Semitic Incident:Harassment,Philadelphia,Pennsylvania,PA,42,Philadelphia,101,,, was left on a Jewish organization's Facebook page.
1462,2,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,Jewish individual victim of anti-Semitic harassment and threats in Dunkin Donuts.
2560,2,Anti-Semitic Incident:Harassment,Washington,District Of Columbia,DC,11,District of Columbia,1,,,Individual targeted with anti-Semitic messages.
626,2,Anti-Semitic Incident:Assault,Columbus,Ohio,OH,39,Franklin,49,,,4 people were injured in an unprovoked attack when a man with large knife entered an Arab-Israeli owned restaurant and stabbed multiple patrons. The attacker was killed by police. The assailant believed the patrons and owner to be Jewish.
2262,2,Terrorist Plot/Attack,Seattle,Washington,WA,53,King,33,Islamist,,
1358,2,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1116,2,Anti-Semitic Incident:Harassment,Howell,New Jersey,NJ,,Monmouth,25,,, yelled during altercation between two drivers in Walmart parking lot.
325,2,Anti-Semitic Incident:Harassment,Brattleboro,Vermont,VT,50,Windham,25,,,Individual targeted with anti-Semitic messages.
1996,2,Anti-Semitic Incident:Harassment,Princeton,New Jersey,NJ,34,Mercer,21,,, in dormitory hallway.
145,2,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,,Swastika carved into vehicle hood.
2343,2,Anti-Semitic Incident:Harassment,St. Louis,Missouri,MO,29,St. Louis city,510,,,Bomb threat called into Jewish school.
1160,2,Anti-Semitic Incident:Vandalism,Newton,Massachusetts,MA,25,Middlesex,17,,,Car parked outside Jewish center vandalized with swastika drawing.
2632,2,Anti-Semitic Incident:Harassment,West Palm Beach,Florida,FL,12,Palm Beach,99,,,Jewish student harassed on social media.
1585,3,Anti-Semitic Incident:Harassment,Milton,Florida,FL,12,Santa Rosa,113,,,Individual made anti-Semitic remarks and threats.
996,3,Extremist Murder,Grants Pass,Oregon,OR,41,Josephine,33,Right Wing (White Supremacist),,"Duane Eugene Bond, Jr., an Odinist with a swastika tattoo, was accused in a stabbing murder."
733,3,Anti-Semitic Incident:Harassment,Denver,Colorado,CO,8,Denver,31,,,Synagogue's Facebook page targeted with an anti-Semitic message.
2393,3,Anti-Semitic Incident:Harassment,Summerville,South Carolina,SC,45,Dorchester,35,,,"Jewish students repeatedly targeted with anti-Semitic comments, slurs, phone calls and the Nazi Salute. Swastika drawn in front of elementary school."
1811,3,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,"Police car vandalized with swastikas, slashed tires."
1589,3,Anti-Semitic Incident:Harassment,Milwaukee,Wisconsin,WI,55,Milwaukee,79,,,.
1258,3,Anti-Semitic Incident:Harassment,Manchester,New Hampshire,NH,33,Hillsborough,11,,,Confidential
790,3,Anti-Semitic Incident:Vandalism,East Garden City,New York,NY,36,Nassau,59,,,Swastika and other offensive graffiti written in black marker in bathroom.
1364,3,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Flyers with hate speech and swastikas found in office copy room.
1070,3,Anti-Semitic Incident:Harassment,Hollywood,Florida,FL,12,Broward,11,,, over a rent dispute.
316,3,Anti-Semitic Incident:Harassment,Boynton Beach,Florida,FL,12,Palm Beach,99,,,
698,3,Anti-Semitic Incident:Harassment,Danville,California,CA,6,Contra Costa,13,,,Jewish girl at middle school victim of anti-Semitic bullying by peers.
1997,3,Anti-Semitic Incident:Harassment,Princeton,New Jersey,NJ,34,Mercer,21,,,Princeton University staff member reported receiving anti-Semitic fax that referenced WWII treatment of Jews in Europe.
359,3,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,,Los Angeles,37,,, and saluted while walking near synagogue on a Jewish holiday.
807,3,Anti-Semitic Incident:Vandalism,Easton,Pennsylvania,PA,42,Northampton,95,,,Residence hall bathroom and bulletin board vandalized with swastikas.
1580,3,Anti-Semitic Incident:Assault,Brooklyn,New York,NY,,Kings,47,,, and had objects thrown at him.
2314,3,Anti-Semitic Incident:Vandalism,South Kingstown,Rhode Island,RI,,Washington,9,,,Confidential
360,3,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,,Los Angeles,37,,,Swastika drawn on Jewish person's car.
1877,3,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,,Los Angeles,37,,, spray-painted on high school campus.
1763,3,Anti-Semitic Incident:Harassment,Newton,Massachusetts,MA,25,Middlesex,17,,,Swastikas used as a username on online computer quiz.
2650,3,Anti-Semitic Incident:Harassment,Weston,Florida,FL,12,Broward,11,,,Jewish organization received anti-Semitic literature via fax.
1164,3,Anti-Semitic Incident:Harassment,Jersey City,New Jersey,NJ,34,Hudson,17,,,Jewish individual harassed for being Jewish by food delivery guy.
1810,3,Anti-Semitic Incident:Vandalism,Brooklyn,New York,NY,,Kings,47,,,Swastika etched into front driver-side window of car parked in front of high school.
1818,3,Anti-Semitic Incident:Harassment,Ocean,New Jersey,NJ,,Monmouth,25,,,Swastika and Hitler images sent to Jewish victim on Snapchat.
1429,3,Anti-Semitic Incident:Harassment,Loxahatchee,Florida,FL,,Palm Beach,99,,,Confidential
838,3,Anti-Semitic Incident:Vandalism,Boston,Massachusetts,MA,25,Suffolk,25,,,Swastika painted near subway station.
2527,3,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,,Los Angeles,37,,,Two swastikas painted on house that was for sale.
1361,3,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,6,Los Angeles,37,,,Confidential
1501,3,Anti-Semitic Incident:Vandalism,Marathon,Florida,FL,12,Monroe,87,,,Swastikas found on street in front of Jewish residence.
2002,3,Anti-Semitic Incident:Vandalism,Princeton,New Jersey,NJ,34,Mercer,21,,,
577,3,Anti-Semitic Incident:Vandalism,Cleveland,Ohio,OH,39,Cuyahoga,35,,,Building in downtown Cleveland vandalized with swastika.
266,3,Anti-Semitic Incident:Harassment,Boca Raton,Florida,FL,12,Palm Beach,99,,,
1276,3,Anti-Semitic Incident:Harassment,L'Anse Creuse,Michigan,MI,,,,,,
1477,3,Anti-Semitic Incident:Vandalism,Princeton,New Jersey,NJ,34,Mercer,21,,,
485,3,Anti-Semitic Incident:Harassment,Chamblee,Georgia,GA,13,DeKalb,89,,,Confidential
1206,3,Anti-Semitic Incident:Harassment,Kissimmee,Florida,FL,12,Osceola,97,,,Class course website about insects displayed anti-Semitic cartoons comparing Jews to cockroaches.
2296,3,Anti-Semitic Incident:Harassment,Simpsonville,South Carolina,SC,45,Greenville,45,,, along with other anti-Semitic comments.
1301,3,Anti-Semitic Incident:Harassment,Lawrenceville,Georgia,GA,13,Gwinnett,135,,,
1463,3,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,Confidential
1162,3,Anti-Semitic Incident:Harassment,Jensen Beach,Florida,FL,12,Martin,85,,,Jewish veteran experienced anti-Semitism and discrimination at veteran organization functions.
1493,3,Anti-Semitic Incident:Harassment,Toms River,New Jersey,NJ,34,Ocean,29,,,
2575,3,Anti-Semitic Incident:Harassment,Alexandria,Virginia,VA,51,Alexandria city,510,,,Confidential
2625,3,Anti-Semitic Incident:Vandalism,West Lafayette,Indiana,IN,18,Tippecanoe,157,,,Swastika and anti-Semitic slurs drawn on whiteboard in wake of contentious school elections at Purdue University.
1506,3,Anti-Semitic Incident:Harassment,Maricopa,Arizona,AZ,4,Pinal,21,,,Student was target of anti-Semitic bullying
1464,3,Anti-Semitic Incident:Harassment,New York,New York,NY,36,Kings,47,,,Confidential
2152,3,Anti-Semitic Incident:Harassment,San Diego,California,CA,6,San Diego,73,,,Synagogue received anti-Semitic hate literature.
1480,3,Anti-Semitic Incident:Vandalism,New York,New York,NY,36,Kings,47,,,Backwards swastika found carved into door of campus residence hall.
2519,3,Anti-Semitic Incident:Harassment,Los Angeles,California,CA,,Los Angeles,37,,,Confidential
2151,3,Anti-Semitic Incident:Harassment,San Diego,California,CA,6,San Diego,73,,,Synagogue received anti-Semitic hate literature.
2030,3,Anti-Semitic Incident:Vandalism,Cedarhurst,New York,NY,36,Nassau,59,,,Swastikas painted with red paint on pillars in garage.
1768,3,Anti-Semitic Incident:Vandalism,Newton,Massachusetts,MA,25,Middlesex,17,,,Confidential
405,3,Anti-Semitic Incident:Vandalism,Washington,District Of Columbia,DC,11,District of Columbia,1,,,Confidential
2526,3,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,,Los Angeles,37,,,Swastikas spray-painted on a Jewish realtor's sign.
1767,3,Anti-Semitic Incident:Vandalism,Newton,Massachusetts,MA,25,Middlesex,17,,,Swastika and message promoting anti-Semitism found in girl's bathroom of high school.
2562,3,Anti-Semitic Incident:Harassment,Washington,District Of Columbia,DC,11,District of Columbia,1,,,Synagogue received anti-Semitic voicemails.
2335,3,Anti-Semitic Incident:Vandalism,Spring,Pennsylvania,PA,,Berks,11,,,Private residence and work vehicle vandalized with swastikas.
1494,3,Anti-Semitic Incident:Vandalism,Toms River,New Jersey,NJ,34,Ocean,29,,, etched into playground equipment.
1566,3,Anti-Semitic Incident:Assault,Brooklyn,New York,NY,,Kings,47,,,Two Jewish men approached and harrassed by large group of men who began to tug on their tefillin and threw a bottle at them.
1393,3,Anti-Semitic Incident:Vandalism,Los Angeles,California,CA,6,Los Angeles,37,,, spray painted on two synagogue walls.
